Date,Ticker,Open,High,Low,Close,Tick Volume,Volume
2021-10-01 09:15:00,NIFTY,17531.9,17531.9,17481.3,17497.5,1,0
2021-10-01 09:16:00,NIFTY,17500.2,17511.2,17493.3,17506.6,1,0
2021-10-01 09:17:00,NIFTY,17506.8,17511.8,17492.0,17497.2,1,0
2021-10-01 09:18:00,NIFTY,17495.4,17503.8,17484.3,17499.8,1,0
2021-10-01 09:19:00,NIFTY,17499.1,17499.5,17478.3,17487.8,1,0
2021-10-01 09:20:00,NIFTY,17487.6,17487.6,17470.8,17473.2,1,0
2021-10-01 09:21:00,NIFTY,17474.2,17477.3,17463.0,17463.0,1,0
2021-10-01 09:22:00,NIFTY,17464.5,17489.3,17459.3,17489.3,1,0
2021-10-01 09:23:00,NIFTY,17491.5,17491.9,17475.0,17486.3,1,0
2021-10-01 09:24:00,NIFTY,17488.5,17502.5,17482.1,17502.5,1,0
2021-10-01 09:25:00,NIFTY,17501.8,17507.3,17487.5,17491.0,1,0
2021-10-01 09:26:00,NIFTY,17491.8,17510.5,17491.8,17505.7,1,0
2021-10-01 09:27:00,NIFTY,17506.0,17510.9,17500.2,17510.3,1,0
2021-10-01 09:28:00,NIFTY,17510.7,17512.4,17498.5,17500.5,1,0
2021-10-01 09:29:00,NIFTY,17499.3,17508.5,17488.7,17507.0,1,0
2021-10-01 09:30:00,NIFTY,17507.6,17508.8,17497.3,17506.8,1,0
2021-10-01 09:31:00,NIFTY,17506.2,17515.0,17498.0,17514.9,1,0
2021-10-01 09:32:00,NIFTY,17516.7,17528.0,17515.8,17526.7,1,0
2021-10-01 09:33:00,NIFTY,17526.8,17527.8,17512.6,17522.6,1,0
2021-10-01 09:34:00,NIFTY,17523.5,17529.0,17516.3,17528.0,1,0
2021-10-01 09:35:00,NIFTY,17526.3,17526.3,17512.2,17513.5,1,0
2021-10-01 09:36:00,NIFTY,17512.8,17520.5,17501.0,17502.8,1,0
2021-10-01 09:37:00,NIFTY,17502.0,17520.3,17502.0,17519.5,1,0
2021-10-01 09:38:00,NIFTY,17518.5,17519.8,17508.0,17512.2,1,0
2021-10-01 09:39:00,NIFTY,17509.3,17520.0,17507.1,17515.5,1,0
2021-10-01 09:40:00,NIFTY,17515.3,17519.2,17510.3,17515.5,1,0
2021-10-01 09:41:00,NIFTY,17515.2,17520.7,17514.8,17517.8,1,0
2021-10-01 09:42:00,NIFTY,17518.5,17527.8,17518.5,17527.8,1,0
2021-10-01 09:43:00,NIFTY,17527.3,17528.5,17515.8,17522.3,1,0
2021-10-01 09:44:00,NIFTY,17521.9,17526.8,17517.0,17517.8,1,0
2021-10-01 09:45:00,NIFTY,17518.3,17518.3,17506.4,17507.3,1,0
2021-10-01 09:46:00,NIFTY,17508.0,17508.0,17497.3,17499.3,1,0
2021-10-01 09:47:00,NIFTY,17497.3,17500.7,17490.8,17495.3,1,0
